KOAK - 2022-12-26 12:00:00
pressure[mb],height[m],temperature[degC],dewpoint[degC],u-wind[m/s],v-wind[m/s]
1007.0,128.0,8.8,6.8,nan,nan
1000.0,183.0,10.4,6.7,-4.91,3.44
999.0,191.0,11.0,6.9,nan,nan
996.0,216.0,11.2,8.0,nan,nan
992.0,249.0,12.2,6.2,nan,nan
990.0,266.0,12.2,7.5,nan,nan
983.0,326.0,12.6,6.6,nan,nan
979.0,359.0,13.4,4.4,nan,nan
967.0,463.0,15.4,7.4,nan,nan
963.0,498.0,15.2,7.2,nan,nan
957.0,551.0,16.4,7.4,nan,nan
943.0,676.0,16.4,6.4,nan,nan
930.0,793.0,16.2,5.2,nan,nan
925.0,843.0,16.4,5.4,2.29,-3.28
916.0,926.0,16.2,4.2,nan,nan
906.0,1019.0,16.8,0.8,nan,nan
865.0,1411.0,16.0,-4.0,nan,nan
864.0,1421.0,16.0,-4.0,nan,nan
850.0,1561.0,15.2,-5.8,5.79,6.89
840.0,1661.0,14.6,-9.4,nan,nan
832.0,1741.0,14.6,-17.4,nan,nan
811.0,1955.0,12.8,-9.2,nan,nan
730.0,2826.0,7.6,-18.4,nan,nan
700.0,3174.0,4.8,-16.2,23.49,8.55
699.0,3186.0,4.6,-16.4,nan,nan
681.0,3397.0,3.2,-10.8,nan,nan
663.0,3613.0,2.0,-24.0,nan,nan
660.0,3649.0,1.6,-22.4,nan,nan
651.0,3759.0,1.2,-35.8,nan,nan
623.0,4109.0,-1.5,-34.5,nan,nan
589.0,4552.0,-3.9,-31.9,nan,nan
552.0,5059.0,-7.3,-31.3,nan,nan
545.0,5158.0,-7.7,-22.7,nan,nan
534.0,5316.0,-9.1,-23.1,nan,nan
526.0,5432.0,-9.7,-30.7,nan,nan
522.0,5491.0,-10.3,-31.3,nan,nan
510.0,5669.0,-11.9,-30.9,nan,nan
500.0,5830.0,-13.3,-23.3,39.84,23.00
499.0,5845.0,-13.3,-22.3,nan,nan
482.0,6107.0,-15.5,-22.5,nan,nan
