station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-26 12:00:00,9,1022.0,6.0,8.0,7.6,155.0,3,0.0,0.0
KOAK,2022-12-26 12:00:00,5,1007.0,128.0,8.8,6.8,M,M,M,M
KOAK,2022-12-26 12:00:00,4,1000.0,183.0,10.4,6.7,125.0,6,319.0,0.0
KOAK,2022-12-26 12:00:00,5,999.0,191.0,11.0,6.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,996.0,216.0,11.2,8.0,M,M,M,M
KOAK,2022-12-26 12:00:00,5,992.0,249.0,12.2,6.2,M,M,M,M
KOAK,2022-12-26 12:00:00,5,990.0,266.0,12.2,7.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,985.5,304.0,M,M,105.0,5,308.0,0.0
KOAK,2022-12-26 12:00:00,5,983.0,326.0,12.6,6.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,979.0,359.0,13.4,4.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,967.0,463.0,15.4,7.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,963.0,498.0,15.2,7.2,M,M,M,M
KOAK,2022-12-26 12:00:00,5,957.0,551.0,16.4,7.4,M,M,M,M
KOAK,2022-12-26 12:00:00,6,950.5,609.0,M,M,355.0,4,270.0,0.0
KOAK,2022-12-26 12:00:00,5,943.0,676.0,16.4,6.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,930.0,793.0,16.2,5.2,M,M,M,M
KOAK,2022-12-26 12:00:00,4,925.0,843.0,16.4,5.4,325.0,4,244.0,0.0
KOAK,2022-12-26 12:00:00,6,917.3,914.0,M,M,315.0,4,236.0,0.0
KOAK,2022-12-26 12:00:00,5,916.0,926.0,16.2,4.2,M,M,M,M
KOAK,2022-12-26 12:00:00,5,906.0,1019.0,16.8,0.8,M,M,M,M
KOAK,2022-12-26 12:00:00,6,884.8,1219.0,M,M,245.0,8,174.0,0.0
KOAK,2022-12-26 12:00:00,5,865.0,1411.0,16.0,-4.0,M,M,M,M
KOAK,2022-12-26 12:00:00,5,864.0,1421.0,16.0,-4.0,M,M,M,M
KOAK,2022-12-26 12:00:00,4,850.0,1561.0,15.2,-5.8,220.0,9,80.0,0.0
KOAK,2022-12-26 12:00:00,5,840.0,1661.0,14.6,-9.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,832.0,1741.0,14.6,-17.4,M,M,M,M
KOAK,2022-12-26 12:00:00,6,823.4,1828.0,M,M,220.0,11,59.0,0.0
KOAK,2022-12-26 12:00:00,5,811.0,1955.0,12.8,-9.2,M,M,M,M
KOAK,2022-12-26 12:00:00,6,793.7,2133.0,M,M,230.0,10,53.0,0.0
KOAK,2022-12-26 12:00:00,6,765.0,2438.0,M,M,245.0,18,54.0,0.0
KOAK,2022-12-26 12:00:00,6,737.4,2743.0,M,M,245.0,22,58.0,1.0
KOAK,2022-12-26 12:00:00,5,730.0,2826.0,7.6,-18.4,M,M,M,M
KOAK,2022-12-26 12:00:00,4,700.0,3174.0,4.8,-16.2,250.0,25,61.0,1.0
KOAK,2022-12-26 12:00:00,5,699.0,3186.0,4.6,-16.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,681.0,3397.0,3.2,-10.8,M,M,M,M
KOAK,2022-12-26 12:00:00,5,663.0,3613.0,2.0,-24.0,M,M,M,M
KOAK,2022-12-26 12:00:00,5,660.0,3649.0,1.6,-22.4,M,M,M,M
KOAK,2022-12-26 12:00:00,6,659.3,3657.0,M,M,245.0,28,63.0,2.0
KOAK,2022-12-26 12:00:00,5,651.0,3759.0,1.2,-35.8,M,M,M,M
KOAK,2022-12-26 12:00:00,6,634.6,3962.0,M,M,255.0,25,64.0,2.0
KOAK,2022-12-26 12:00:00,5,623.0,4109.0,-1.5,-34.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,610.7,4267.0,M,M,245.0,25,65.0,3.0
KOAK,2022-12-26 12:00:00,5,589.0,4552.0,-3.9,-31.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,587.5,4572.0,M,M,220.0,27,63.0,3.0
KOAK,2022-12-26 12:00:00,6,565.1,4876.0,M,M,240.0,27,61.0,4.0
KOAK,2022-12-26 12:00:00,5,552.0,5059.0,-7.3,-31.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,545.0,5158.0,-7.7,-22.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,543.4,5181.0,M,M,245.0,28,61.0,4.0
KOAK,2022-12-26 12:00:00,5,534.0,5316.0,-9.1,-23.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,526.0,5432.0,-9.7,-30.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,522.0,5491.0,-10.3,-31.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,510.0,5669.0,-11.9,-30.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,502.4,5791.0,M,M,245.0,46,62.0,5.0
KOAK,2022-12-26 12:00:00,4,500.0,5830.0,-13.3,-23.3,240.0,46,62.0,5.0
KOAK,2022-12-26 12:00:00,5,499.0,5845.0,-13.3,-22.3,M,M,M,M
KOAK,2022-12-26 12:00:00,6,482.7,6096.0,M,M,240.0,45,62.0,6.0
KOAK,2022-12-26 12:00:00,5,482.0,6107.0,-15.5,-22.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,467.0,6344.0,-17.7,-27.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,463.5,6400.0,M,M,235.0,47,61.0,7.0
KOAK,2022-12-26 12:00:00,5,457.0,6505.0,-19.1,-21.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,453.0,6570.0,-19.7,-21.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,441.0,6768.0,-21.1,-21.8,M,M,M,M
KOAK,2022-12-26 12:00:00,5,437.0,6835.0,-21.3,-22.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,436.0,6852.0,-21.1,-22.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,423.0,7074.0,-22.1,-22.2,M,M,M,M
KOAK,2022-12-26 12:00:00,6,409.3,7315.0,M,M,255.0,47,62.0,9.0
KOAK,2022-12-26 12:00:00,5,407.0,7356.0,-23.3,-23.5,M,M,M,M
KOAK,2022-12-26 12:00:00,4,400.0,7490.0,-24.3,-24.5,250.0,47,62.0,10.0
KOAK,2022-12-26 12:00:00,6,392.9,7620.0,M,M,250.0,47,63.0,10.0
KOAK,2022-12-26 12:00:00,6,376.6,7924.0,M,M,250.0,50,63.0,11.0
KOAK,2022-12-26 12:00:00,5,370.0,8052.0,-28.5,-28.8,M,M,M,M
KOAK,2022-12-26 12:00:00,5,368.0,8091.0,-28.5,-29.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,366.0,8130.0,-27.9,-30.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,361.0,8228.0,-28.5,-31.6,M,M,M,M
KOAK,2022-12-26 12:00:00,5,356.0,8328.0,-28.9,-34.9,M,M,M,M
KOAK,2022-12-26 12:00:00,6,345.8,8534.0,M,M,265.0,57,65.0,13.0
KOAK,2022-12-26 12:00:00,5,345.0,8551.0,-30.5,-35.3,M,M,M,M
KOAK,2022-12-26 12:00:00,5,338.0,8696.0,-31.5,-35.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,326.0,8950.0,-33.9,-38.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,318.0,9123.0,-35.1,-43.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,317.0,9144.0,M,M,255.0,56,67.0,14.0
KOAK,2022-12-26 12:00:00,5,311.0,9277.0,-36.5,-45.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,307.0,9366.0,-37.3,-45.3,M,M,M,M
KOAK,2022-12-26 12:00:00,4,300.0,9530.0,-38.7,-47.7,250.0,52,67.0,16.0
KOAK,2022-12-26 12:00:00,5,291.0,9738.0,-40.5,-50.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,277.5,10058.0,M,M,250.0,50,67.0,17.0
KOAK,2022-12-26 12:00:00,5,277.0,10071.0,-43.7,-49.7,M,M,M,M
KOAK,2022-12-26 12:00:00,5,265.0,10366.0,-46.5,-51.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,253.0,10671.0,-49.1,-53.4,M,M,M,M
KOAK,2022-12-26 12:00:00,4,250.0,10750.0,-49.9,-54.9,260.0,57,68.0,19.0
KOAK,2022-12-26 12:00:00,5,242.0,10961.0,-51.9,-57.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,239.0,11041.0,-52.5,-61.5,M,M,M,M
KOAK,2022-12-26 12:00:00,6,230.3,11277.0,M,M,260.0,63,69.0,21.0
KOAK,2022-12-26 12:00:00,5,224.0,11455.0,-56.5,-61.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,220.0,11569.0,-57.5,-66.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,204.0,12039.0,-62.3,-69.3,M,M,M,M
KOAK,2022-12-26 12:00:00,4,200.0,12160.0,-63.5,-69.5,260.0,63,70.0,24.0
KOAK,2022-12-26 12:00:00,5,183.0,12697.0,-68.5,-71.9,M,M,M,M
KOAK,2022-12-26 12:00:00,5,170.0,13133.0,-72.7,-79.7,M,M,M,M
KOAK,2022-12-26 12:00:00,6,162.1,13411.0,M,M,265.0,63,72.0,28.0
KOAK,2022-12-26 12:00:00,5,157.0,13597.0,-74.5,-79.2,M,M,M,M
KOAK,2022-12-26 12:00:00,5,153.0,13748.0,-71.5,-78.5,M,M,M,M
KOAK,2022-12-26 12:00:00,4,150.0,13870.0,-72.1,-79.1,265.0,52,73.0,30.0
KOAK,2022-12-26 12:00:00,6,146.2,14020.0,M,M,265.0,52,73.0,30.0
KOAK,2022-12-26 12:00:00,5,145.0,14068.0,-73.4,-81.4,M,M,M,M
KOAK,2022-12-26 12:00:00,5,144.0,14108.0,-72.1,-81.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,140.0,14273.0,-73.1,-82.1,M,M,M,M
KOAK,2022-12-26 12:00:00,5,130.0,14707.0,-72.5,-83.5,M,M,M,M
KOAK,2022-12-26 12:00:00,5,120.0,15180.0,-69.1,-85.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,118.8,15240.0,M,M,285.0,55,75.0,34.0
KOAK,2022-12-26 12:00:00,6,112.9,15544.0,M,M,265.0,35,76.0,34.0
KOAK,2022-12-26 12:00:00,5,111.0,15642.0,-71.1,-86.1,M,M,M,M
KOAK,2022-12-26 12:00:00,6,107.2,15849.0,M,M,270.0,52,76.0,35.0
