KOAK - 2022-12-28 00:00:00
pressure[mb],height[m],temperature[degC],dewpoint[degC],u-wind[kts],v-wind[kts]
1000.0,94.0,12.6,9.9,11.28,-4.10
981.0,254.0,11.8,9.0,nan,nan
947.0,546.0,9.4,8.4,nan,nan
925.0,744.0,8.4,4.4,10.39,-6.00
912.0,860.0,7.6,2.6,nan,nan
904.0,932.0,7.0,2.1,nan,nan
882.0,1133.0,6.4,-3.6,nan,nan
870.0,1245.0,7.2,-6.8,nan,nan
850.0,1440.0,6.2,-1.8,24.62,4.34
839.0,1546.0,5.2,1.1,nan,nan
837.0,1565.0,5.2,0.2,nan,nan
832.0,1614.0,4.8,1.0,nan,nan
830.0,1634.0,4.6,0.2,nan,nan
828.0,1654.0,4.6,-3.4,nan,nan
823.0,1703.0,4.6,-4.4,nan,nan
820.0,1733.0,4.4,-4.6,nan,nan
813.0,1803.0,4.6,-6.4,nan,nan
755.0,2399.0,0.4,-7.6,nan,nan
746.0,2495.0,-0.1,-11.1,nan,nan
737.0,2592.0,-0.9,-10.9,nan,nan
732.0,2646.0,-0.7,-18.7,nan,nan
727.0,2701.0,-0.9,-18.9,nan,nan
714.0,2844.0,-2.1,-22.1,nan,nan
703.0,2967.0,-1.7,-44.7,nan,nan
700.0,3005.0,-1.9,-43.9,39.39,-6.95
669.0,3363.0,-2.9,-41.9,nan,nan
652.0,3565.0,-4.7,-45.7,nan,nan
635.0,3772.0,-4.9,-40.9,nan,nan
633.0,3797.0,-4.9,-39.9,nan,nan
578.0,4501.0,-10.9,-34.9,nan,nan
561.0,4729.0,-12.7,-20.7,nan,nan
558.0,4770.0,-13.1,-21.1,nan,nan
551.0,4866.0,-13.7,-19.7,nan,nan
547.0,4921.0,-13.3,-16.1,nan,nan
542.0,4991.0,-13.1,-15.5,nan,nan
537.0,5061.0,-12.7,-15.1,nan,nan
509.0,5467.0,-14.5,-18.1,nan,nan
500.0,5610.0,-15.3,-18.7,73.72,-6.45
496.0,5670.0,-15.5,-18.4,nan,nan
480.0,5916.0,-16.3,-16.3,nan,nan
478.0,5947.0,-16.1,-16.4,nan,nan
469.0,6089.0,-17.3,-17.3,nan,nan
425.0,6818.0,-22.5,-22.9,nan,nan
423.0,6852.0,-22.9,-23.7,nan,nan
422.0,6869.0,-22.7,-25.7,nan,nan
401.0,7240.0,-25.5,-27.0,nan,nan
400.0,7260.0,-25.7,-27.8,84.04,22.52
393.0,7387.0,-26.7,-27.5,nan,nan
390.0,7442.0,-27.3,-28.7,nan,nan
370.0,7817.0,-30.5,-30.9,nan,nan
365.0,7913.0,-31.3,-32.6,nan,nan
359.0,8030.0,-32.3,-32.8,nan,nan
354.0,8129.0,-32.9,-34.2,nan,nan
352.0,8169.0,-33.1,-33.8,nan,nan
348.0,8249.0,-33.9,-34.6,nan,nan
346.0,8289.0,-34.3,-36.3,nan,nan
345.0,8309.0,-34.7,-35.7,nan,nan
342.0,8370.0,-35.1,-37.9,nan,nan
340.0,8411.0,-35.5,-37.7,nan,nan
331.0,8596.0,-37.3,-40.1,nan,nan
329.0,8638.0,-37.5,-41.5,nan,nan
315.0,8935.0,-40.3,-43.1,nan,nan
311.0,9022.0,-41.1,-45.0,nan,nan
304.0,9176.0,-42.5,-44.8,nan,nan
302.0,9220.0,-43.1,-45.8,nan,nan
301.0,9242.0,-43.3,-46.4,nan,nan
300.0,9270.0,-43.3,-47.6,98.48,17.36
299.0,9292.0,-43.5,-49.5,nan,nan
297.0,9337.0,-43.5,-51.5,nan,nan
291.0,9474.0,-43.7,-60.7,nan,nan
289.0,9520.0,-43.7,-61.7,nan,nan
282.0,9684.0,-44.9,-58.9,nan,nan
268.0,10023.0,-46.1,-65.1,nan,nan
250.0,10490.0,-48.9,-66.9,100.46,26.92
233.0,10948.0,-51.9,-68.9,nan,nan
200.0,11930.0,-53.3,-72.3,97.63,8.54
188.0,12328.0,-52.7,-72.7,nan,nan
150.0,13780.0,-53.5,-74.5,70.91,-12.50
145.0,13998.0,-53.3,-74.3,nan,nan
100.0,16320.0,-65.1,-82.1,55.06,-14.75
87.3,17142.0,-66.7,-83.7,nan,nan
80.3,17642.0,-69.9,-84.9,nan,nan
77.9,17823.0,-68.7,-84.7,nan,nan
74.2,18112.0,-71.1,-86.1,nan,nan
72.8,18226.0,-70.1,-85.1,nan,nan
70.0,18460.0,-71.5,-86.5,39.88,-18.60
69.2,18528.0,-71.5,-86.5,nan,nan
63.0,19081.0,-71.4,-86.4,nan,nan
60.6,19311.0,-69.1,-86.1,nan,nan
56.9,19687.0,-68.3,-85.3,nan,nan
53.7,20032.0,-69.7,-86.7,nan,nan
50.0,20470.0,-65.9,-85.9,30.07,-10.94
48.9,20605.0,-64.5,-85.5,nan,nan
47.9,20732.0,-61.1,-83.1,nan,nan
46.4,20930.0,-59.5,-82.5,nan,nan
41.1,21678.0,-64.5,-85.5,nan,nan
40.0,21844.0,-63.9,-85.9,nan,nan
39.1,21984.0,-60.1,-84.1,nan,nan
37.5,22243.0,-61.5,-84.5,nan,nan
36.1,22479.0,-59.9,-83.9,nan,nan
30.6,23513.0,-58.1,-84.1,nan,nan
30.0,23640.0,-59.1,-84.1,29.00,-13.52
28.3,24004.0,-60.1,-85.1,nan,nan
26.2,24485.0,-58.5,-85.5,nan,nan
