station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KREV,2022-12-26 12:00:00,9,855.0,1516.0,3.4,0.1,35.0,3,0.0,0.0
KREV,2022-12-26 12:00:00,4,1000.0,223.0,M,M,M,M,M,M
KREV,2022-12-26 12:00:00,4,925.0,872.0,M,M,M,M,M,M
KREV,2022-12-26 12:00:00,4,850.0,1564.0,6.8,1.8,180.0,2,286.0,0.0
KREV,2022-12-26 12:00:00,6,823.2,1828.0,M,M,235.0,3,16.0,0.0
KREV,2022-12-26 12:00:00,5,821.0,1850.0,11.6,-0.4,M,M,M,M
KREV,2022-12-26 12:00:00,5,801.0,2055.0,10.6,-3.4,M,M,M,M
KREV,2022-12-26 12:00:00,6,793.5,2133.0,M,M,260.0,15,57.0,0.0
KREV,2022-12-26 12:00:00,5,788.0,2190.0,10.2,-3.8,M,M,M,M
KREV,2022-12-26 12:00:00,6,764.5,2438.0,M,M,240.0,20,65.0,0.0
KREV,2022-12-26 12:00:00,6,736.5,2743.0,M,M,240.0,23,63.0,0.0
KREV,2022-12-26 12:00:00,5,714.0,2997.0,3.8,-6.2,M,M,M,M
KREV,2022-12-26 12:00:00,6,709.5,3048.0,M,M,230.0,30,60.0,1.0
KREV,2022-12-26 12:00:00,5,701.0,3145.0,3.0,-11.0,M,M,M,M
KREV,2022-12-26 12:00:00,4,700.0,3163.0,3.0,-11.0,230.0,29,58.0,1.0
KREV,2022-12-26 12:00:00,6,658.0,3657.0,M,M,250.0,34,59.0,2.0
KREV,2022-12-26 12:00:00,5,619.0,4146.0,-1.9,-21.9,M,M,M,M
KREV,2022-12-26 12:00:00,6,609.6,4267.0,M,M,245.0,27,61.0,3.0
KREV,2022-12-26 12:00:00,5,595.0,4458.0,-3.3,-28.3,M,M,M,M
KREV,2022-12-26 12:00:00,6,563.9,4876.0,M,M,260.0,25,63.0,4.0
KREV,2022-12-26 12:00:00,5,535.0,5285.0,-10.1,-19.1,M,M,M,M
KREV,2022-12-26 12:00:00,6,501.2,5791.0,M,M,255.0,43,67.0,5.0
KREV,2022-12-26 12:00:00,4,500.0,5810.0,-14.5,-21.5,255.0,43,67.0,5.0
KREV,2022-12-26 12:00:00,6,481.3,6096.0,M,M,255.0,42,68.0,6.0
KREV,2022-12-26 12:00:00,5,470.0,6273.0,-18.9,-23.7,M,M,M,M
KREV,2022-12-26 12:00:00,5,435.0,6842.0,-23.5,-27.4,M,M,M,M
KREV,2022-12-26 12:00:00,5,429.0,6943.0,-23.3,-24.9,M,M,M,M
KREV,2022-12-26 12:00:00,6,425.1,7010.0,M,M,240.0,35,68.0,8.0
KREV,2022-12-26 12:00:00,4,400.0,7460.0,-25.7,-27.9,250.0,36,67.0,9.0
KREV,2022-12-26 12:00:00,5,394.0,7569.0,-26.5,-29.1,M,M,M,M
KREV,2022-12-26 12:00:00,6,391.2,7620.0,M,M,250.0,35,67.0,9.0
KREV,2022-12-26 12:00:00,5,377.0,7886.0,-27.5,-31.6,M,M,M,M
KREV,2022-12-26 12:00:00,6,359.2,8229.0,M,M,255.0,40,68.0,11.0
KREV,2022-12-26 12:00:00,5,332.0,8787.0,-33.1,-36.4,M,M,M,M
KREV,2022-12-26 12:00:00,6,315.4,9144.0,M,M,265.0,61,70.0,13.0
KREV,2022-12-26 12:00:00,5,312.0,9219.0,-36.7,-40.4,M,M,M,M
KREV,2022-12-26 12:00:00,5,309.0,9286.0,-37.5,-41.1,M,M,M,M
KREV,2022-12-26 12:00:00,4,300.0,9490.0,-39.1,-42.9,265.0,59,71.0,14.0
KREV,2022-12-26 12:00:00,5,294.0,9628.0,-40.3,-44.0,M,M,M,M
KREV,2022-12-26 12:00:00,5,288.0,9768.0,-41.5,-45.1,M,M,M,M
KREV,2022-12-26 12:00:00,6,251.6,10668.0,M,M,260.0,61,73.0,18.0
KREV,2022-12-26 12:00:00,4,250.0,10710.0,-49.9,-54.1,265.0,64,73.0,18.0
KREV,2022-12-26 12:00:00,5,239.0,11001.0,-52.9,-57.1,M,M,M,M
KREV,2022-12-26 12:00:00,5,214.0,11701.0,-59.5,-63.0,M,M,M,M
KREV,2022-12-26 12:00:00,5,208.0,11878.0,-61.1,-64.9,M,M,M,M
KREV,2022-12-26 12:00:00,6,207.7,11887.0,M,M,265.0,68,75.0,22.0
KREV,2022-12-26 12:00:00,4,200.0,12130.0,-63.7,-67.3,270.0,66,76.0,23.0
KREV,2022-12-26 12:00:00,5,182.0,12699.0,-69.4,-72.5,M,M,M,M
KREV,2022-12-26 12:00:00,5,171.0,13067.0,-72.7,-76.1,M,M,M,M
KREV,2022-12-26 12:00:00,6,169.9,13106.0,M,M,270.0,57,78.0,27.0
KREV,2022-12-26 12:00:00,5,156.0,13599.0,-76.7,-80.2,M,M,M,M
KREV,2022-12-26 12:00:00,5,152.0,13748.0,-75.5,-79.6,M,M,M,M
KREV,2022-12-26 12:00:00,4,150.0,13830.0,-75.1,-79.2,275.0,62,79.0,29.0
KREV,2022-12-26 12:00:00,6,145.2,14020.0,M,M,275.0,66,79.0,30.0
KREV,2022-12-26 12:00:00,5,145.0,14026.0,-74.5,-79.1,M,M,M,M
KREV,2022-12-26 12:00:00,6,130.8,14630.0,M,M,265.0,54,80.0,32.0
KREV,2022-12-26 12:00:00,5,123.0,14990.0,-70.5,-78.5,M,M,M,M
KREV,2022-12-26 12:00:00,6,117.9,15240.0,M,M,285.0,53,80.0,33.0
KREV,2022-12-26 12:00:00,6,112.1,15544.0,M,M,270.0,43,81.0,34.0
KREV,2022-12-26 12:00:00,5,108.0,15764.0,-68.3,-79.3,M,M,M,M
KREV,2022-12-26 12:00:00,6,106.5,15849.0,M,M,280.0,54,81.0,35.0
KREV,2022-12-26 12:00:00,5,102.0,16104.0,-70.4,-81.4,M,M,M,M
KREV,2022-12-26 12:00:00,4,100.0,16220.0,-69.7,-81.7,290.0,45,82.0,36.0
KREV,2022-12-26 12:00:00,5,96.4,16439.0,-67.5,-80.5,M,M,M,M
KREV,2022-12-26 12:00:00,6,96.1,16459.0,M,M,295.0,44,82.0,36.0
KREV,2022-12-26 12:00:00,6,82.6,17373.0,M,M,290.0,35,84.0,38.0
KREV,2022-12-26 12:00:00,6,74.6,17983.0,M,M,300.0,40,85.0,39.0
KREV,2022-12-26 12:00:00,6,71.0,18288.0,M,M,295.0,35,85.0,40.0
KREV,2022-12-26 12:00:00,4,70.0,18370.0,-65.9,-83.9,265.0,33,85.0,40.0
KREV,2022-12-26 12:00:00,5,67.6,18581.0,-65.3,-83.3,M,M,M,M
KREV,2022-12-26 12:00:00,6,64.2,18897.0,M,M,275.0,37,85.0,41.0
KREV,2022-12-26 12:00:00,5,58.4,19466.0,-66.9,-86.9,M,M,M,M
KREV,2022-12-26 12:00:00,6,52.5,20116.0,M,M,310.0,41,87.0,43.0
KREV,2022-12-26 12:00:00,5,51.2,20268.0,-62.1,-86.1,M,M,M,M
KREV,2022-12-26 12:00:00,4,50.0,20410.0,-62.3,-86.3,300.0,30,87.0,44.0
KREV,2022-12-26 12:00:00,6,45.2,21031.0,M,M,290.0,27,88.0,45.0
KREV,2022-12-26 12:00:00,5,44.2,21170.0,-61.9,-88.9,M,M,M,M
KREV,2022-12-26 12:00:00,6,43.0,21336.0,M,M,290.0,37,88.0,45.0
KREV,2022-12-26 12:00:00,6,41.0,21640.0,M,M,315.0,33,88.0,46.0
KREV,2022-12-26 12:00:00,5,40.3,21739.0,-62.5,M,M,M,M,M
KREV,2022-12-26 12:00:00,6,40.2,21945.0,M,M,305.0,27,89.0,46.0
KREV,2022-12-27 00:00:00,9,849.0,1516.0,14.2,-1.8,210.0,5,0.0,0.0
KREV,2022-12-27 00:00:00,4,1000.0,109.0,M,M,M,M,M,M
KREV,2022-12-27 00:00:00,4,925.0,783.0,M,M,M,M,M,M
KREV,2022-12-27 00:00:00,4,850.0,1503.0,M,M,M,M,M,M
KREV,2022-12-27 00:00:00,6,817.9,1828.0,M,M,185.0,14,16.0,0.0
KREV,2022-12-27 00:00:00,5,809.0,1920.0,12.4,-6.6,M,M,M,M
KREV,2022-12-27 00:00:00,6,788.3,2133.0,M,M,210.0,22,16.0,0.0
KREV,2022-12-27 00:00:00,6,759.5,2438.0,M,M,215.0,23,23.0,0.0
KREV,2022-12-27 00:00:00,6,731.8,2743.0,M,M,215.0,24,27.0,1.0
KREV,2022-12-27 00:00:00,5,722.0,2854.0,3.4,-10.6,M,M,M,M
KREV,2022-12-27 00:00:00,5,704.0,3057.0,2.0,-12.0,M,M,M,M
KREV,2022-12-27 00:00:00,4,700.0,3106.0,2.0,-12.0,225.0,34,31.0,1.0
KREV,2022-12-27 00:00:00,5,692.0,3198.0,1.2,-12.8,M,M,M,M
KREV,2022-12-27 00:00:00,6,678.7,3352.0,M,M,230.0,29,34.0,2.0
KREV,2022-12-27 00:00:00,6,653.1,3657.0,M,M,225.0,39,36.0,2.0
KREV,2022-12-27 00:00:00,5,642.0,3793.0,-3.9,-13.9,M,M,M,M
KREV,2022-12-27 00:00:00,5,630.0,3941.0,-4.5,-17.5,M,M,M,M
KREV,2022-12-27 00:00:00,6,604.2,4267.0,M,M,235.0,49,41.0,4.0
KREV,2022-12-27 00:00:00,5,593.0,4413.0,-7.7,-11.9,M,M,M,M
KREV,2022-12-27 00:00:00,5,559.0,4868.0,-10.5,-15.4,M,M,M,M
KREV,2022-12-27 00:00:00,6,558.4,4876.0,M,M,230.0,52,44.0,5.0
KREV,2022-12-27 00:00:00,6,536.6,5181.0,M,M,240.0,59,45.0,6.0
KREV,2022-12-27 00:00:00,5,528.0,5305.0,-11.5,-14.3,M,M,M,M
KREV,2022-12-27 00:00:00,5,509.0,5584.0,-12.9,-15.3,M,M,M,M
KREV,2022-12-27 00:00:00,5,504.0,5659.0,-13.3,-15.7,M,M,M,M
KREV,2022-12-27 00:00:00,4,500.0,5730.0,-13.1,-16.0,255.0,42,49.0,8.0
KREV,2022-12-27 00:00:00,5,484.0,5976.0,-14.3,-18.2,M,M,M,M
KREV,2022-12-27 00:00:00,6,476.3,6096.0,M,M,260.0,40,52.0,9.0
KREV,2022-12-27 00:00:00,6,457.3,6400.0,M,M,260.0,34,53.0,9.0
KREV,2022-12-27 00:00:00,5,409.0,7232.0,-21.1,-32.1,M,M,M,M
KREV,2022-12-27 00:00:00,4,400.0,7400.0,-22.7,-32.7,260.0,39,58.0,11.0
KREV,2022-12-27 00:00:00,5,390.0,7585.0,-24.3,-34.3,M,M,M,M
KREV,2022-12-27 00:00:00,6,388.1,7620.0,M,M,260.0,39,59.0,11.0
KREV,2022-12-27 00:00:00,5,328.0,8814.0,-35.7,-39.4,M,M,M,M
KREV,2022-12-27 00:00:00,5,320.0,8985.0,-37.1,-42.1,M,M,M,M
KREV,2022-12-27 00:00:00,6,312.7,9144.0,M,M,265.0,39,64.0,15.0
KREV,2022-12-27 00:00:00,4,300.0,9430.0,-40.5,-49.5,270.0,40,64.0,15.0
KREV,2022-12-27 00:00:00,6,273.2,10058.0,M,M,265.0,45,66.0,16.0
KREV,2022-12-27 00:00:00,5,270.0,10136.0,-47.1,-56.1,M,M,M,M
KREV,2022-12-27 00:00:00,4,250.0,10640.0,-51.5,-59.5,290.0,54,69.0,18.0
KREV,2022-12-27 00:00:00,6,248.9,10668.0,M,M,285.0,50,69.0,18.0
KREV,2022-12-27 00:00:00,6,215.4,11582.0,M,M,295.0,61,74.0,20.0
KREV,2022-12-27 00:00:00,5,210.0,11744.0,-61.3,-65.9,M,M,M,M
KREV,2022-12-27 00:00:00,6,205.2,11887.0,M,M,290.0,69,76.0,21.0
KREV,2022-12-27 00:00:00,5,204.0,11923.0,-62.3,-68.3,M,M,M,M
KREV,2022-12-27 00:00:00,4,200.0,12050.0,-63.1,-69.1,290.0,59,77.0,22.0
KREV,2022-12-27 00:00:00,6,176.8,12801.0,M,M,275.0,49,79.0,24.0
KREV,2022-12-27 00:00:00,5,174.0,12899.0,-65.9,-72.9,M,M,M,M
KREV,2022-12-27 00:00:00,5,169.0,13076.0,-66.5,-73.5,M,M,M,M
KREV,2022-12-27 00:00:00,6,168.1,13106.0,M,M,280.0,55,80.0,24.0
KREV,2022-12-27 00:00:00,6,159.9,13411.0,M,M,270.0,49,80.0,25.0
