station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBIS,2009-01-15 12:00:00,4,1000.0,355.0,M,M,M,M,M,M
KBIS,2009-01-15 12:00:00,9,979.0,503.0,-35.7,-39.8,0.0,0,0.0,0.0
KBIS,2009-01-15 12:00:00,5,959.0,649.0,-25.3,-28.8,M,M,M,M
KBIS,2009-01-15 12:00:00,5,949.0,726.0,-24.1,-27.6,M,M,M,M
KBIS,2009-01-15 12:00:00,5,936.0,826.0,-22.7,-28.7,M,M,M,M
KBIS,2009-01-15 12:00:00,6,925.1,914.0,M,M,280.0,6,139.0,0.0
KBIS,2009-01-15 12:00:00,4,925.0,915.0,-22.9,-28.9,285.0,6,139.0,0.0
KBIS,2009-01-15 12:00:00,5,898.0,1131.0,-22.9,-28.9,M,M,M,M
KBIS,2009-01-15 12:00:00,6,887.3,1219.0,M,M,320.0,10,127.0,0.0
KBIS,2009-01-15 12:00:00,5,851.0,1526.0,-21.3,-35.3,M,M,M,M
KBIS,2009-01-15 12:00:00,4,850.0,1536.0,-21.3,-35.3,330.0,10,135.0,0.0
KBIS,2009-01-15 12:00:00,6,816.8,1828.0,M,M,320.0,15,139.0,0.0
KBIS,2009-01-15 12:00:00,6,783.6,2133.0,M,M,335.0,17,141.0,0.0
KBIS,2009-01-15 12:00:00,5,763.0,2328.0,-22.5,-40.5,M,M,M,M
KBIS,2009-01-15 12:00:00,6,751.6,2438.0,M,M,340.0,22,145.0,1.0
KBIS,2009-01-15 12:00:00,5,730.0,2651.0,-24.1,-41.1,M,M,M,M
KBIS,2009-01-15 12:00:00,5,721.0,2741.0,-23.1,-41.1,M,M,M,M
KBIS,2009-01-15 12:00:00,6,720.8,2743.0,M,M,335.0,32,149.0,1.0
KBIS,2009-01-15 12:00:00,5,707.0,2884.0,-22.9,-41.9,M,M,M,M
KBIS,2009-01-15 12:00:00,4,700.0,2961.0,-23.3,-43.3,335.0,36,150.0,2.0
KBIS,2009-01-15 12:00:00,6,636.0,3657.0,M,M,335.0,50,152.0,3.0
KBIS,2009-01-15 12:00:00,5,610.0,3960.0,-25.9,-43.9,M,M,M,M
KBIS,2009-01-15 12:00:00,6,584.2,4267.0,M,M,335.0,62,153.0,5.0
KBIS,2009-01-15 12:00:00,6,536.2,4876.0,M,M,335.0,67,153.0,7.0
KBIS,2009-01-15 12:00:00,6,513.6,5181.0,M,M,335.0,69,153.0,8.0
KBIS,2009-01-15 12:00:00,5,510.0,5231.0,-34.3,-52.3,M,M,M,M
KBIS,2009-01-15 12:00:00,4,500.0,5370.0,-34.5,-52.5,335.0,73,153.0,9.0
KBIS,2009-01-15 12:00:00,5,463.0,5906.0,-34.5,-52.5,M,M,M,M
KBIS,2009-01-15 12:00:00,6,450.4,6096.0,M,M,340.0,94,154.0,13.0
KBIS,2009-01-15 12:00:00,5,423.0,6530.0,-38.5,-53.5,M,M,M,M
KBIS,2009-01-15 12:00:00,5,409.0,6761.0,-38.7,-53.7,M,M,M,M
KBIS,2009-01-15 12:00:00,4,400.0,6920.0,-39.9,-54.9,340.0,112,156.0,17.0
KBIS,2009-01-15 12:00:00,6,394.6,7010.0,M,M,340.0,112,156.0,18.0
KBIS,2009-01-15 12:00:00,6,359.8,7620.0,M,M,340.0,118,156.0,22.0
KBIS,2009-01-15 12:00:00,4,300.0,8820.0,-54.7,-66.7,345.0,125,158.0,30.0
KBIS,2009-01-15 12:00:00,6,284.9,9144.0,M,M,345.0,131,158.0,32.0
KBIS,2009-01-15 12:00:00,6,274.0,9391.0,M,M,340.0,132,158.0,34.0
KBIS,2009-01-15 12:00:00,6,271.5,9448.0,M,M,340.0,132,158.0,34.0
KBIS,2009-01-15 12:00:00,5,255.0,9842.0,-58.1,-69.1,M,M,M,M
KBIS,2009-01-15 12:00:00,4,250.0,9970.0,-58.3,-69.3,340.0,117,159.0,38.0
KBIS,2009-01-15 12:00:00,5,228.0,10548.0,-58.5,-69.5,M,M,M,M
KBIS,2009-01-15 12:00:00,5,214.0,10946.0,-57.7,-68.7,M,M,M,M
KBIS,2009-01-15 12:00:00,5,209.0,11095.0,-56.5,-68.5,M,M,M,M
KBIS,2009-01-15 12:00:00,6,203.2,11277.0,M,M,335.0,98,158.0,46.0
KBIS,2009-01-15 12:00:00,4,200.0,11380.0,-56.7,-68.7,335.0,99,158.0,46.0
KBIS,2009-01-15 12:00:00,5,192.0,11637.0,-57.7,-69.7,M,M,M,M
KBIS,2009-01-15 12:00:00,5,183.0,11939.0,-57.5,-69.5,M,M,M,M
KBIS,2009-01-15 12:00:00,5,175.0,12219.0,-59.1,-70.1,M,M,M,M
KBIS,2009-01-15 12:00:00,5,168.0,12474.0,-59.7,-70.7,M,M,M,M
KBIS,2009-01-15 12:00:00,5,163.0,12662.0,-59.9,-70.9,M,M,M,M
KBIS,2009-01-15 12:00:00,6,159.4,12801.0,M,M,335.0,106,158.0,54.0
KBIS,2009-01-15 12:00:00,5,156.0,12936.0,-58.7,-69.7,M,M,M,M
KBIS,2009-01-15 12:00:00,4,150.0,13190.0,-58.9,-69.9,340.0,101,158.0,56.0
KBIS,2009-01-15 12:00:00,5,141.0,13577.0,-59.5,-70.5,M,M,M,M
KBIS,2009-01-15 12:00:00,5,130.0,14084.0,-59.1,-70.1,M,M,M,M
KBIS,2009-01-15 12:00:00,5,111.0,15064.0,-62.5,-73.5,M,M,M,M
KBIS,2009-01-15 12:00:00,6,107.9,15240.0,M,M,330.0,93,157.0,67.0
KBIS,2009-01-15 12:00:00,5,106.0,15348.0,-61.9,-72.9,M,M,M,M
KBIS,2009-01-15 12:00:00,5,104.0,15465.0,-62.7,-73.7,M,M,M,M
KBIS,2009-01-15 12:00:00,4,100.0,15710.0,-61.7,-72.7,325.0,88,157.0,70.0
KBIS,2009-01-15 12:00:00,5,91.5,16259.0,-61.5,-72.5,M,M,M,M
KBIS,2009-01-15 12:00:00,5,78.4,17204.0,-66.1,-76.1,M,M,M,M
KBIS,2009-01-15 12:00:00,6,76.3,17373.0,M,M,320.0,86,155.0,78.0
KBIS,2009-01-15 12:00:00,4,70.0,17900.0,-65.9,-75.9,315.0,97,155.0,80.0
KBIS,2009-01-15 12:00:00,5,68.6,18022.0,-65.9,-75.9,M,M,M,M
KBIS,2009-01-15 12:00:00,6,65.6,18288.0,M,M,315.0,102,154.0,82.0
KBIS,2009-01-15 12:00:00,5,57.6,19071.0,-69.3,-79.3,M,M,M,M
KBIS,2009-01-15 12:00:00,6,53.5,19507.0,M,M,325.0,113,153.0,89.0
KBIS,2009-01-15 12:00:00,5,52.0,19680.0,-69.1,-79.1,M,M,M,M
KBIS,2009-01-15 12:00:00,4,50.0,19920.0,-68.1,-78.1,320.0,108,153.0,92.0
KBIS,2009-01-15 12:00:00,5,47.2,20266.0,-66.5,-76.5,M,M,M,M
KBIS,2009-01-15 12:00:00,6,41.6,21031.0,M,M,320.0,100,152.0,98.0
KBIS,2009-01-15 12:00:00,6,39.5,21336.0,M,M,315.0,103,151.0,100.0
KBIS,2009-01-15 12:00:00,6,30.7,22860.0,M,M,315.0,115,150.0,108.0
KBIS,2009-01-15 12:00:00,6,30.1,22979.0,M,M,315.0,115,150.0,109.0
KBIS,2009-01-15 12:00:00,4,30.0,23000.0,-67.9,-77.9,315.0,115,150.0,109.0
KBIS,2009-01-15 12:00:00,6,23.8,24384.0,M,M,315.0,98,149.0,117.0
KBIS,2009-01-15 12:00:00,6,20.4,25298.0,M,M,310.0,110,148.0,122.0
KBIS,2009-01-15 12:00:00,4,20.0,25420.0,-69.5,-79.5,315.0,111,148.0,123.0
KBIS,2009-01-15 12:00:00,5,19.9,25450.0,-69.5,-79.5,M,M,M,M
